episode,reward
428,-19.63997450822394
429,-1.8178792124955483
430,-16.60020606459573
431,-1.8171604251254951
432,-16.565206125045606
433,-19.66492847967602
434,-1.8410457578202089
435,-9.847507476029218
436,-1.9400213124358117
437,-16.81135204960561
438,-19.62867060241131
439,-1.948425863814576
440,-9.562402366332636
441,-19.775816576790508
442,-9.61498228509295
443,-3.850704158858805
444,-9.398163473910465
445,-16.642700111018293
446,-16.800075022373473
447,-9.270852726913777
448,-19.64118127646491
449,-16.46568038644965
450,-9.288547419376506
451,-20.625403572852505
452,-19.823752419872054
453,-9.288547419376506
454,-2.755325144361878
455,-16.55569986740557
456,-16.565490709687225
457,-1.9239769444287866
458,-20.27188103771269
459,-19.687752952019157
460,-3.3490177375113888
461,-16.17615654740104
462,-2.1771723171544646
463,-16.707314607554014
464,-9.577026402586203
465,-2.179190462344731
466,-19.89076966369038
467,-2.2540480588323972
468,-16.60020606459573
469,-2.0630412741541155
470,-19.63997450822394
471,-18.7088638443
472,-19.789463653442546
473,-10.25662952843995
474,-9.476619311027145
475,-16.881955900839078
476,-27.328476606405104
477,-19.800958252408734
478,-1.9371406507922524
479,-16.89079297269265
480,-2.146531738995239
481,-9.576459468715248
482,-28.11983550337916
483,-10.2275711656124
484,-21.17481259496634
485,-10.562069755511708
486,-1.91143457380664
487,-9.932522189670602
488,-16.60020606459573
489,-20.478127240649133
490,-16.957057314558728
491,-19.63997450822394
492,-19.51840560537521
493,-19.736665531870905
494,-16.829408276175574
495,-9.57836631141649
496,-9.487432375828062
497,-1.9586611195528534
498,-10.469126625132086
499,-19.866693836667295
500,-9.609450038724601
501,-1.9768607890628012
502,-16.859216094860397
503,-19.904485401962614
504,-21.379350674933594
505,-9.215592124748708
506,-9.463965809650853
507,-16.25914671698462
508,-1.89360682365666
509,-9.097018752792737
510,-1.921491647254147
511,-20.05342795901359
512,-16.175797433207514
513,-19.91775200649814
514,-32.16565310873582
515,-20.189273613962094
516,-2.146957949458279
517,-32.83564652393804
518,-1.9004728219936131
519,-9.874572478474166
520,-16.17228336125938
521,-9.552505782678523
522,-2.0791027341272406
523,-2.32155269651593
524,-20.367558014243063
525,-9.157797950823085
526,-9.313857641398497
527,-23.6847391337883
528,-1.9660873377931403
529,-29.467795918356444
530,-20.336340979334295
531,-16.51693420891594
532,-2.410665986203308
533,-2.5917804162447973
534,-9.382523377236303
535,-16.621895007211684
536,-2.509824940299859
537,-9.26592372593961
538,-2.4170274190453718
539,-16.73916857157986
540,-2.5921454013268352
541,-16.382281149205674
542,-2.4268428850981545
543,-2.7855021693654933
544,-2.806386822731901
545,-20.579027715138544
546,-2.786706347418676
547,-9.295865639275755
548,-16.61288049615897
549,-26.471954740129856
550,-17.915069261017546
551,-20.162561858263604
552,-9.353398113808456
553,-19.841404070361776
554,-9.538279273527472
555,-30.84237741847999
556,-16.35700727077117
557,-17.38913442415779
558,-19.929916188506965
559,-19.87819597769924
560,-19.63997450822394
561,-16.298903607974747
562,-2.9140575969104443
563,-9.42556841030727
564,-2.886193744731696
565,-19.891262025472496
566,-3.0102544715736737
567,-2.7004377402692357
568,-3.182189597866833
569,-16.293729491653234
570,-16.63015354511492
571,-20.119130358232308
572,-9.483565469232316
573,-9.052833380284028
574,-2.307563428337852
575,-1.9412554947440832
576,-9.406644944026052
577,-19.718921827070098
578,-16.16121419582443
579,-19.73616253863983
580,-2.3516426490617857
581,-2.370322464960203
582,-28.16451033385193
583,-2.3221220108107303
584,-2.2353647806401784
585,-9.614421827147721
586,-19.55485553391091
587,-16.394505475564436
588,-2.28068249944376
589,-19.746904669984218
590,-19.71946090315983
591,-19.63997450822394
592,-19.87547086004239
593,-2.092791471441437
594,-30.119560102918456
595,-9.568810970027986
596,-20.430660536572574
597,-16.782026775843597
598,-19.63997450822394
599,-21.068999784953537
600,-16.53144604024786
601,-16.26489496687246
602,-20.776542586392917
603,-16.62869614959949
604,-2.0235799387339126
605,-19.63997450822394
606,-16.56172272152329
607,-9.473398753359463
608,-17.13849840782535
609,-19.95257688232782
610,-19.996670286972122
611,-20.948050976168588
612,-9.401491993192904
613,-21.668812614827818
614,-9.2702924966294
615,-16.559326604767055
616,-16.776740960049427
617,-2.0332100422584976
618,-9.4481145326011
619,-2.0373061515047426
620,-1.9972332383758662
621,-9.770774762139753
622,-9.37645093639169
623,-2.0842018867768535
624,-9.342092991424904
625,-16.72999546048538
626,-1.874836100468745
627,-10.820952825532745
628,-9.376694464823444
629,-20.771390411742864
630,-9.415816968480632
631,-16.656387113884264
632,-9.33230527034896
633,-9.49569877271427
634,-9.450895532615984
635,-2.2295941233056453
636,-15.986826225415728
637,-1.9048014934085462
638,-9.135332654571789
639,-19.805521293510257
640,-20.559726216006105
641,-16.347918429823228
642,-19.94305017966862
643,-20.94116095396006
644,-9.318732792491646
645,-19.880076883362456
646,-9.5112350397416
647,-9.247953003676455
648,-16.37709935796918
649,-20.79650920367924
650,-20.230690307681186
651,-9.692045520594984
652,-21.049389175217126
653,-1.8994807535699652
654,-20.11705037797741
655,-16.733110762504438
656,-15.913865164664204
657,-19.835926296417448
658,-16.31610415357215
659,-2.089891162300039
660,-9.312810826183972
661,-2.2493698643546747
662,-16.478101598418863
663,-1.970972917492877
664,-2.011256242902546
665,-16.280893773650753
666,-16.644010140345408
667,-16.381181981566296
668,-29.7031671136802
669,-19.592742664716774
670,-2.1176404414922594
671,-19.742134182132396
672,-16.420984539368565
673,-16.083406286296707
674,-1.9708595835329392
675,-16.495384601510757
676,-15.95067450817798
677,-16.328697075686847
678,-2.68340804084059
679,-16.628958087011146
680,-19.63997450822394
681,-15.92034892631172
682,-2.1723647883394936
683,-21.245416244701484
684,-20.171523020113032
685,-2.0256138669702777
686,-19.68487947877764
687,-9.134847392325046
688,-16.435650360396206
689,-10.16442494136682
690,-19.78010946528779
691,-26.9248423519898
692,-19.63997450822394
693,-20.477081578639137
694,-19.63997450822394
695,-1.815309840824128
696,-9.120515530258954
697,-16.610473957477012
698,-16.17022274952704
699,-1.9700748114779085
700,-2.1862432783018106
701,-16.154815771273903
702,-25.687256563503954
703,-2.1301639272672253
704,-2.113910323862587
705,-2.309846018624309
706,-16.350597285099596
707,-2.34294587972557
708,-16.606447017591385
709,-11.369065149522816
710,-9.732953880449314
711,-15.878118060217968
712,-16.48294102299957
713,-20.335029968015984
714,-19.75577228590867
715,-19.84236216798589
716,-19.63997450822394
717,-16.217639828956962
718,-9.773642399146759
719,-2.1618032495668276
720,-16.369785572612187
721,-2.419132504647283
722,-19.63997450822394
723,-19.741484050590973
724,-2.156602068967352
725,-19.843046816362182
726,-2.214109854948199
727,-16.470915311544218
728,-2.2741645387846434
729,-10.125763702887472
730,-16.51615066211631
731,-16.415425834278697
732,-9.401924964347746
733,-19.72657389973654
734,-33.652168604624265
735,-1.9469267726941084
736,-15.732258942431555
737,-15.990106679556572
738,-9.170131764799333
739,-17.201481281130466
740,-20.024655277268213
741,-21.180586080095793
742,-19.63997450822394
743,-15.991504336777894
744,-9.055946893336737
745,-19.834232874941588
746,-9.1017606050073
747,-16.097557715210083
748,-10.30262935199689
749,-9.367491648575168
750,-2.102180312888146
751,-20.1017848359452
752,-2.030185079739384
753,-2.039388457957962
754,-21.389405756629902
755,-16.304410948243568
756,-9.423542177832827
757,-16.633695126079758
758,-9.216726212932974
759,-2.1187935038464496
760,-16.422497868607458
761,-1.9691109119259713
762,-16.933448260062583
763,-20.276465456532243
764,-20.43128327681266
765,-9.363438280256101
766,-26.1996839504776
767,-15.926898638758017
768,-9.183932605856906
769,-2.3070597276415428
770,-9.251213064158359
771,-15.87698757954026
772,-26.74516846508873
773,-1.687880502597149
774,-15.842315842268947
775,-19.77836849431454
776,-19.650000166261435
777,-9.328888575761232
778,-2.2950462716240674
779,-9.1017606050073
780,-23.161248100112072
781,-19.757414702359668
782,-16.338461386423823
783,-2.3135293378098956
784,-2.2634136493557957
785,-9.124941271869178
786,-16.685755947592295
787,-2.537788538170961
788,-15.713024923572405
789,-15.914165008664584
790,-2.202017192176304
791,-2.062240802305383
792,-9.38978599918542
793,-16.44558710752603
794,-19.652968398021475
795,-9.065550813244473
796,-9.528087002751919
797,-19.63997450822394
